Feature;LIDC;KITS;LITS;NSCLC;BRATS
wavelet-HH_glcm_DifferenceEntropy;0.9175226967599537;0.9931149384628112;0.9556313966732612;0.9837444799118591;0.9977548041969829
wavelet-LL_firstorder_Maximum;0.9961386072556608;0.9836913819959298;0.9034491687360802;0.9389679534256252;0.9994098194443866
wavelet-LL_gldm_DependenceNonUniformityNormalized;0.9580093854736955;0.9853329009861743;0.8819725437279313;0.9836795671643341;0.9956362791937368
original_firstorder_10Percentile;0.8121015187479497;0.9836109605671916;0.9850087585700837;0.9594214014074974;0.9926816906815119
wavelet-LL_firstorder_10Percentile;0.8313972168411805;0.9832044195569443;0.984714359667302;0.9606535258977682;0.9928407512599604
wavelet-LH_firstorder_10Percentile;0.9826184112383073;0.9923587097846069;0.9210027328975787;0.9786327739265406;0.9932907669171539
wavelet-HL_firstorder_Uniformity;0.8481683170214906;0.9823402085524686;0.9016610112674136;0.9865770140672896;0.9972908395148175
wavelet-HH_firstorder_InterquartileRange;0.9568577151258304;0.9988117366740314;0.9583563359759071;0.9820991042151522;0.9968934744092044
original_firstorder_Maximum;0.9943779005992277;0.9819447894601956;0.8978562679585769;0.9357692537229545;0.9966946414923188
original_firstorder_RootMeanSquared;0.9796157564730742;0.9985909123155511;0.9688304712867485;0.981631644672736;0.9989167491374447
wavelet-LH_glcm_JointEntropy;0.8439639883415859;0.9940018388598357;0.9662218319609802;0.9815991294058104;0.9982301444740066
original_glcm_InverseVariance;0.9418188902103795;0.9921358725214213;0.9258185505544815;0.9815723399995882;0.9968280361747429
wavelet-HL_firstorder_Entropy;0.8588798123585799;0.9941373437451821;0.9572934004940761;0.9814158168363598;0.9957776863577334
wavelet-HH_glcm_SumEntropy;0.8841670958785366;0.992017270064214;0.9518590028384909;0.9813608257191437;0.998074302438261
wavelet-LL_firstorder_Median;0.9566235851481912;0.9991630640966932;0.9782339892408756;0.9812245390236622;0.9985330805109749
wavelet-LH_firstorder_Entropy;0.8704277201130708;0.99450473596691;0.9577328857002558;0.9809130807681219;0.9975847995110427
wavelet-LL_glcm_Contrast;0.9809077037499054;0.9878866497101193;0.8496779707580453;0.960147620006545;0.9879428004553616
wavelet-HL_glcm_JointEntropy;0.825845650217222;0.9942506863447779;0.9647920579020501;0.9808151766954967;0.9972795855303489
wavelet-HL_glrlm_GrayLevelNonUniformityNormalized;0.8005281842746532;0.9807053694489295;0.8952511294432178;0.9829415025263344;0.9955107551255757
original_firstorder_Median;0.952408511095505;0.9990449465264754;0.9737003323127454;0.9804079016578711;0.9986408907863022
wavelet-HH_gldm_SmallDependenceEmphasis;0.9555449822763956;0.9905905632896743;0.9141646013395668;0.9803230951431076;0.9970301754736999
wavelet-HL_firstorder_10Percentile;0.9801663861041743;0.9954360074811982;0.9146950932491685;0.974318815994057;0.984158871555042
wavelet-LH_glcm_DifferenceAverage;0.9692711832079862;0.9973699777933156;0.9715027869566686;0.979955472391078;0.9957243204011392
wavelet-LL_glszm_SizeZoneNonUniformityNormalized;0.9166103404711627;0.9899638129726853;0.8834318144004236;0.9798605031493524;0.9897529608504877
wavelet-LH_firstorder_MeanAbsoluteDeviation;0.9554052230481351;0.99684481138321;0.9678081676635217;0.9797836732183791;0.995761775300303
wavelet-LH_glcm_InverseVariance;0.9470092256205618;0.9954077574486544;0.9178227646710215;0.9797224787503291;0.9970781778615543
wavelet-LL_glcm_JointEntropy;0.8545216235168616;0.9901586918174416;0.96489227363703;0.9794980772980337;0.9964674641960285
wavelet-LL_glcm_Imc1;0.9592482377241031;0.9852350240724346;0.9647860214730613;0.9793473510513941;0.9934508997431997
original_gldm_DependenceNonUniformityNormalized;0.9344983946761303;0.9831973046412585;0.8903021820639576;0.9792874945267686;0.9958294091609945
wavelet-LL_glszm_SmallAreaEmphasis;0.9084009958157616;0.9914872261598277;0.8711580127731422;0.9791380113733581;0.9885586609465731
wavelet-LL_firstorder_Mean;0.9661949102397702;0.9983350925965677;0.9767836008054349;0.9790510377085531;0.9986793961633158
wavelet-LH_glcm_DifferenceEntropy;0.8447174254945944;0.9903383768139333;0.9445098359834555;0.9790170771732698;0.9976669642932927
wavelet-HL_glcm_DifferenceEntropy;0.8260742952673976;0.9898991876128056;0.9455641355291409;0.9789090714252486;0.9960270629763448
wavelet-LL_glcm_DifferenceAverage;0.9788344316645178;0.9924282709078778;0.950807428908897;0.9738156759095665;0.9931300601627289
wavelet-LH_firstorder_RobustMeanAbsoluteDeviation;0.9297151802366783;0.995741080714277;0.9500691719578191;0.9788145651773354;0.9968492806586327
original_firstorder_Mean;0.963428676194358;0.9982677043381658;0.973092287738927;0.97850126546372;0.9986093039062927
wavelet-HL_firstorder_MeanAbsoluteDeviation;0.9440136510027161;0.9971552747084804;0.9647082024207271;0.9782122116991872;0.9921399663784997
wavelet-HL_glcm_SumEntropy;0.7627389088103425;0.98675751914926;0.9287025149603748;0.9781526925748425;0.996114892841069
original_glcm_JointEntropy;0.8253741959987517;0.9907280079400762;0.9619055887310679;0.9780608457682873;0.9971291504082067
wavelet-HH_glszm_ZoneVariance;0.9623895177633366;0.9996384179853586;0.9830674344493324;0.978002708414073;0.9741381220279495
wavelet-LH_glcm_SumEntropy;0.7725498112619626;0.9881054511847742;0.9318394009569508;0.9777148601140593;0.9974062605739087
wavelet-LL_glcm_DifferenceEntropy;0.7224357761020777;0.9826290324920277;0.8990185871719732;0.977660371134569;0.9948919213501146
wavelet-HH_firstorder_10Percentile;0.9257325018997361;0.9974481475591844;0.9632838219484677;0.9771769959862575;0.993465857938189
wavelet-HL_glcm_InverseVariance;0.9461763389167065;0.9928386839785239;0.924971544541279;0.9767678431604763;0.9970256194428206
wavelet-LH_glcm_Imc2;0.937522573422265;0.9929390246364926;0.9754749415282833;0.9765680058869466;0.991355619478945
wavelet-HL_firstorder_RobustMeanAbsoluteDeviation;0.9097054235153901;0.9958779111481465;0.9387977688694391;0.9762545686480428;0.9955444634360213
original_firstorder_Uniformity;0.788964128535949;0.9762232741214959;0.8548359610395466;0.9780164253352981;0.9980055403497746
wavelet-HL_glcm_DifferenceAverage;0.9537684002506162;0.9977125698553382;0.9669638138127082;0.9762154086700444;0.9922559133289308
wavelet-HH_glcm_JointEnergy;0.8074857271103958;0.9759356935496053;0.8498142920311345;0.983591142598863;0.9989654673254199
wavelet-LH_glcm_SumSquares;0.9413122383370102;0.9976528532342763;0.9658624538510785;0.9748183803043409;0.9894342666579872
wavelet-LH_gldm_DependenceNonUniformityNormalized;0.92556951369697;0.9832397759589258;0.8700267681021859;0.974639546810268;0.9957304130555935
wavelet-LL_firstorder_Entropy;0.7834836565438238;0.9856861322050137;0.9298724092708228;0.9744996137961428;0.9952409627120491
wavelet-LH_gldm_GrayLevelVariance;0.9435671078116462;0.997211784909608;0.9613969242522569;0.9742968712675926;0.988664805165619
wavelet-HH_glcm_SumSquares;0.9741947321742089;0.9998346948773078;0.9721549001808572;0.9809393812787044;0.9718939142015193
original_glcm_DifferenceEntropy;0.7444416847057929;0.9871387552896362;0.9243081844358022;0.9741150766416156;0.9957111869940152
wavelet-LH_firstorder_InterquartileRange;0.9196704754627687;0.9960914973857307;0.9463449008950953;0.9740641875118322;0.9960336415368591
original_firstorder_Entropy;0.7837312997510915;0.9873506920553307;0.9355815451445246;0.974048643974149;0.9957051043018096
wavelet-LH_firstorder_Variance;0.9435315390459721;0.9973125913035782;0.9637137653688845;0.9740361589158751;0.98886626929431
wavelet-HH_firstorder_Variance;0.9695417619003703;0.9998287313912568;0.9711518851946691;0.9825201809149737;0.9740357980631501
wavelet-HH_firstorder_90Percentile;0.9657906404590278;0.9980641568589401;0.9626900232170357;0.9738656390921882;0.9877723556945609
wavelet-HH_gldm_GrayLevelVariance;0.9693138980920474;0.9998171713351988;0.9707354962645511;0.9815177904938397;0.9735298907049058
wavelet-HL_gldm_DependenceNonUniformityNormalized;0.9221845687055055;0.9884773738016631;0.8569312959820473;0.9734033393350616;0.9958048064352238
wavelet-HH_glcm_ClusterTendency;0.9662542887206897;0.9998163211127978;0.9695417958612913;0.9791731646818342;0.9729088222168376
wavelet-LH_glrlm_GrayLevelVariance;0.9432758040306851;0.9971113919032348;0.9629491068238423;0.9729013022633992;0.9879483334926366
wavelet-LH_glcm_ClusterTendency;0.899437152490917;0.996216576671678;0.9481216114574793;0.9727899828894765;0.9907603444071404
original_glrlm_GrayLevelNonUniformityNormalized;0.6500581589692511;0.9726865465266508;0.8552286523434642;0.9759670865915313;0.9946440498520281
wavelet-HH_glrlm_GrayLevelVariance;0.9689501362662272;0.9998029843978611;0.9711914350059804;0.9823800116477753;0.9725041181723123
wavelet-HH_glcm_Contrast;0.9719202826795019;0.9998114703535498;0.9708074373705788;0.9809715718949876;0.9707241296436269
wavelet-LH_glcm_ClusterProminence;0.8174387287914846;0.9979436197398086;0.7440255737537342;0.9717608201727169;0.9812064131671449
original_glcm_Contrast;0.971686071118165;0.9972707767353433;0.9015878879682953;0.9583851004154977;0.986233623160303
wavelet-HH_glszm_LargeAreaEmphasis;0.9381205491258993;0.9994952323326984;0.9716196753102985;0.9755249274313176;0.9577489309478896
wavelet-LH_glcm_MaximumProbability;0.7216582398460278;0.9715039968280978;0.8192810877505994;0.984309721922763;0.9985105740893365
wavelet-HH_gldm_DependenceEntropy;0.8246356081709709;0.9857152701343881;0.9411697585837133;0.9713815473755508;0.9957813985157682
original_glcm_Imc1;0.9465809020591022;0.9742800114835246;0.9564253453149085;0.971282234326331;0.9905751462671772
wavelet-HH_glcm_MaximumProbability;0.8629043468897508;0.9841214235889606;0.8952308110893186;0.971248424846269;0.9986477378406651
wavelet-LH_glcm_DifferenceVariance;0.9338667906271321;0.9980793586116912;0.960918549711891;0.9711948226006817;0.9838161441152689
wavelet-HL_glcm_Imc2;0.9309261537695985;0.9945261881310108;0.9692492693004027;0.9708606440259457;0.9880503160936801
wavelet-LL_glcm_SumEntropy;0.799123510208891;0.9814385527712568;0.9334477945793063;0.9708600047106741;0.9953472944816577
wavelet-LH_glcm_Contrast;0.9497214267264246;0.9981823563369221;0.9678067444218991;0.970628450425467;0.9866337896149674
original_glcm_DifferenceAverage;0.9703357618555682;0.9961530778398582;0.9630541150494161;0.9705507197254533;0.9932120221062267
original_glcm_SumEntropy;0.7562241958069678;0.9827355918679246;0.9258573580305038;0.9705344969530494;0.9958828419560954
wavelet-HH_glcm_Imc2;0.9651290653053295;0.9947190734258838;0.9697394344965936;0.950567490280484;0.9914959959946601
wavelet-LL_glcm_DifferenceVariance;0.9692344078237571;0.9801715028382141;0.7685964899411208;0.9579216164936141;0.9861546990979577
wavelet-HL_firstorder_InterquartileRange;0.9100825021230818;0.995751865480865;0.9378115608591342;0.9679378829533084;0.9953101230624315
wavelet-LH_glszm_GrayLevelVariance;0.9411428760904983;0.9959399788484808;0.9595688014774435;0.9678567117720835;0.9856856779309806
wavelet-HH_glszm_GrayLevelVariance;0.9678271575477171;0.9996933468846468;0.9665820303276048;0.9624927178165154;0.9738216055964195
wavelet-HH_glcm_ClusterProminence;0.9665166127987668;0.9995480996776749;0.7361877234470058;0.9910786864518611;0.851469614233268
wavelet-LL_gldm_DependenceEntropy;0.8639593490302192;0.9819169185626422;0.9624150443962501;0.9663356113837879;0.9920918038808639
wavelet-HH_glcm_DifferenceVariance;0.9659152665974355;0.9997826316563516;0.9554079679496486;0.9845312314612071;0.9661240970798277
original_gldm_DependenceEntropy;0.8379733933833187;0.9826300692976514;0.9535425430585962;0.9654875349265168;0.9925415422439776
wavelet-HH_gldm_SmallDependenceHighGrayLevelEmphasis;0.9632831832706437;0.9998766866129474;0.9652773606795422;0.9676311012171182;0.9254833462257542
wavelet-LL_glcm_Imc2;0.5444398675093163;0.9846682633595436;0.9447124152921507;0.9651533385470926;0.9840961598418093
